#2021-3-4_16:29:38
156,6,269,-5
10,8,255,-4
11,4,272,-5
10,15,265,-3
9,12,266,-5
10,6,272,-6
10,10,269,-4
10,13,265,-5
10,8,272,-6
9,9,270,-1
11,10,268,-9
10,7,270,-5
9,7,272,0
10,9,269,-7
10,11,267,-5
10,5,274,-6
10,12,269,-3
9,11,268,-13
10,8,271,-5
11,11,270,-1
9,12,266,-7
10,8,270,-8
9,9,271,-3
11,9,267,-6
10,11,266,-5
9,11,268,-13
10,9,273,-2
10,12,270,-6
10,10,267,-7
10,9,270,-6
10,10,271,-6
9,14,265,-3
11,9,267,-10
9,9,269,-7
10,9,269,-3
10,12,268,0
10,10,269,-6
10,9,272,-4
9,10,270,-6
10,12,264,-8
10,9,268,-6
10,8,270,-4
10,13,268,-5
10,12,266,-8
9,6,268,0
11,9,269,-6
10,12,268,-9
9,9,269,0
10,11,268,-4
10,10,267,-10
45,8,269,-7
5,7,275,-10
9,10,269,0
10,9,270,-7
9,8,270,0
11,10,269,-10
10,8,267,-6
9,9,272,-1
10,7,269,-11
11,10,272,-6
9,12,267,-6
10,11,267,-6
9,8,269,-4
10,11,267,-3
11,12,264,-5
9,5,271,-5
10,10,271,-3
10,12,263,-10
10,8,269,-5
10,8,265,0
9,11,266,-6
10,11,272,-8
11,11,269,-2
9,12,267,-4
10,8,270,-9
10,7,272,-4
9,10,269,-2
11,10,270,-8
9,7,272,-5
10,10,269,-3
10,13,265,-6
10,11,266,-5
10,10,271,-7
10,8,272,-2
9,10,268,-3
11,11,266,-8
9,8,272,-6
10,12,267,-8
10,11,267,-7
9,9,272,-2
11,11,268,-10
10,8,268,-6
9,11,269,1
10,10,268,-7
10,6,273,0
10,10,271,-7
10,11,267,-11
9,8,271,-2
11,9,269,-3
10,7,271,-8
45,9,268,-6
4,14,263,-6
9,9,267,-10
10,8,269,-3
11,11,267,-6
9,9,271,-8
10,13,267,-4
9,9,269,-8
11,9,270,-1
10,10,268,-2
9,7,271,0
10,10,271,-4
10,9,271,-6
10,12,265,-3
10,11,264,-6
9,8,269,-4
10,10,267,-6
11,9,270,-10
9,9,271,-6
10,11,266,-6
10,8,270,-7
10,11,271,-2
10,12,267,-5
9,11,269,-7
10,10,271,2
10,9,271,-5
10,8,270,-10
10,9,270,-5
10,12,271,-2
9,12,266,-1
11,10,267,-12
9,6,270,-2
10,13,268,-2
10,9,273,-5
10,10,273,-3
10,11,265,-7
10,10,266,-9
9,9,271,-1
10,11,267,-10
10,12,270,-4
10,12,266,-4
10,8,270,-4
9,6,272,-2
11,9,270,-1
10,11,268,-11
9,7,271,-7
10,11,268,0
10,7,267,-4
10,6,268,-9
10,13,266,-3
45,8,267,-7
4,7,269,-12
9,10,269,-5
11,11,267,-11
10,7,272,-5
9,12,267,-9
10,6,272,-5
11,11,267,-3
9,10,268,-9
10,7,270,-2
9,10,266,-8
10,7,272,-9
11,11,271,-1
9,13,267,-6
10,10,270,-6
10,11,269,-1
10,11,267,-7
10,9,270,-5
9,11,270,-2
10,10,268,-7
11,6,270,0
9,13,267,-5
10,14,268,-7
10,4,272,-6
9,12,265,-5
11,13,269,-1
9,5,272,-4
10,9,268,-1
10,15,264,-8
10,10,269,-9
10,8,271,-3
10,11,266,-1
9,9,268,-7
11,7,273,-4
9,10,270,-4
10,8,273,-9
10,8,274,-2
9,10,267,-7
11,11,267,-11
10,9,270,-2
9,13,267,-6
10,10,269,-6
10,13,269,-3
10,12,270,-8
10,6,271,-7
9,10,270,-1
11,11,269,-9
10,8,268,-7
9,12,266,1
10,10,269,-6
45,9,266,-7
4,10,268,-9
11,7,271,-10
9,10,269,-6
10,12,268,-6
9,7,271,-9
11,9,272,-8
10,10,267,-7
9,9,274,-7
10,12,270,-3
10,12,268,-11
10,10,270,-10
10,8,272,-3
9,13,267,-3
10,15,263,-5
11,7,269,-3
9,13,268,-2
10,10,267,-11
10,6,272,-7
10,14,269,-1
10,12,266,-8
9,7,269,-6
10,8,268,-4
10,12,269,-4
10,12,265,-10
10,10,267,-10
10,9,273,0
9,11,269,-5
11,11,268,-9
9,8,271,-4
10,10,267,-5
10,11,267,-10
